ctrl,m2,m1,m3,sim_time,log_time
0,46787.0,146145.0,96374.0,396.88,2021-04-05 11:59:02
0,46824.0,146002.0,96265.0,397.49,2021-04-05 12:11:01
0,47143.0,145709.0,96204.0,398.1,2021-04-05 12:23:15
0,47056.0,145845.0,96194.0,398.69,2021-04-05 12:35:30
0,46695.0,146110.0,96144.0,399.31,2021-04-05 12:47:21
0,46792.0,146003.0,96114.0,399.89,2021-04-05 12:58:59
0,46920.0,145975.0,96116.0,400.5,2021-04-05 13:11:03
0,47313.0,145956.0,96180.0,401.12,2021-04-05 13:22:55
0,47664.0,145619.0,96152.0,401.74,2021-04-05 13:34:18
0,47648.0,145711.0,96103.0,402.39,2021-04-05 13:46:11
0,47775.0,145555.0,96070.0,402.99,2021-04-05 13:57:53
0,47706.0,145743.0,96137.0,403.59,2021-04-05 14:09:38
0,47591.0,145737.0,96081.0,404.14,2021-04-05 14:21:31
0,47398.0,145871.0,96020.0,404.71,2021-04-05 14:33:29
0,47348.0,146059.0,96018.0,405.19,2021-04-05 14:45:15
0,47528.0,146010.0,96049.0,405.74,2021-04-05 14:56:54
0,47112.0,146297.0,96055.0,406.3,2021-04-05 15:09:08
0,47046.0,146442.0,96057.0,406.85,2021-04-05 15:20:58
0,46913.0,146550.0,96016.0,407.43,2021-04-05 15:33:05
0,46790.0,146678.0,96030.0,408.0,2021-04-05 15:45:02
0,46954.0,146560.0,96202.0,408.59,2021-04-05 15:57:14
0,46814.0,146735.0,96360.0,409.12,2021-04-05 16:09:25
0,46602.0,147026.0,96416.0,409.67,2021-04-05 16:21:25
0,46306.0,147379.0,96554.0,410.27,2021-04-05 16:33:36
0,46124.0,147402.0,96723.0,410.8,2021-04-05 16:45:31
0,45837.0,147488.0,96754.0,411.4,2021-04-05 16:57:48
0,45668.0,147506.0,96781.0,411.92,2021-04-05 17:09:50
0,45734.0,147253.0,96735.0,412.48,2021-04-05 17:22:22
0,45812.0,147226.0,96775.0,413.08,2021-04-05 17:34:30
0,45752.0,147071.0,96717.0,413.68,2021-04-05 17:46:25
0,45615.0,147205.0,96591.0,414.3,2021-04-05 17:59:03
0,46057.0,146761.0,96587.0,414.82,2021-04-05 18:11:03
0,46461.0,146270.0,96387.0,415.43,2021-04-05 18:23:17
0,46572.0,146237.0,96273.0,416.0,2021-04-05 18:35:27
0,46690.0,146413.0,96349.0,416.58,2021-04-05 18:47:46
0,46573.0,146637.0,96402.0,417.18,2021-04-05 18:59:33
0,46540.0,146885.0,96445.0,417.8,2021-04-05 19:11:16
0,46396.0,147000.0,96527.0,418.44,2021-04-05 19:23:18
0,46406.0,146849.0,96550.0,419.0,2021-04-05 19:35:14
0,46372.0,146944.0,96652.0,419.54,2021-04-05 19:46:58
